tournament_name,stage_name,group_stage,knockout_stage,match_date,team_name,opponent_name,home_team,away_team,goals_for,goals_against,is_host,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,yellow_cards,red_cards,team_prior_win_rate,team_prior_matches,extra_time,penalty_shootout,outcome,year
1982 FIFA Men's World Cup,group stage,1,0,1982-06-18,Italy,Peru,1,0,1,1,0,,,,,,,,1,0,0.5555555555555556,36,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-18,Peru,Italy,0,1,1,1,0,,,,,,,,1,0,0.3333333333333333,12,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-19,Poland,Cameroon,1,0,0,0,0,,,,,,,,1,0,0.6428571428571429,14,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-19,Cameroon,Poland,0,1,0,0,0,,,,,,,,2,0,0.0,0,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-19,El Salvador,Belgium,0,1,0,1,0,,,,,,,,2,0,0.0,3,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-20,Chile,West Germany,0,1,1,4,0,,,,,,,,2,0,0.3888888888888889,18,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-20,Czechoslovakia,England,0,1,0,2,0,,,,,,,,1,0,0.3636363636363636,22,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-20,Spain,Yugoslavia,1,0,2,1,1,,,,,,,,2,0,0.3888888888888889,18,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-20,Yugoslavia,Spain,0,1,1,2,0,,,,,,,,2,0,0.4,25,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-21,Algeria,Austria,1,0,0,2,0,,,,,,,,1,0,0.0,0,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-21,France,Kuwait,1,0,4,1,0,,,,,,,,1,0,0.4,20,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-21,Kuwait,France,0,1,1,4,0,,,,,,,,2,0,0.0,0,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-22,Peru,Poland,0,1,1,5,0,,,,,,,,1,0,0.3333333333333333,12,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-22,Belgium,Hungary,1,0,1,1,0,,,,,,,,2,0,0.1111111111111111,9,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-22,Scotland,Soviet Union,0,1,2,2,0,,,,,,,,1,0,0.1818181818181818,11,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-23,Italy,Cameroon,1,0,1,1,0,,,,,,,,1,0,0.5555555555555556,36,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-23,Cameroon,Italy,0,1,1,1,0,,,,,,,,1,0,0.0,0,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-23,Argentina,El Salvador,1,0,2,0,0,,,,,,,,2,0,0.4827586206896552,29,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-23,El Salvador,Argentina,0,1,0,2,0,,,,,,,,3,0,0.0,3,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-24,Chile,Algeria,0,1,2,3,0,,,,,,,,1,0,0.3888888888888889,18,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-24,France,Czechoslovakia,1,0,1,1,0,,,,,,,,1,0,0.4,20,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-24,Czechoslovakia,France,0,1,1,1,0,,,,,,,,1,1,0.3636363636363636,22,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-24,Honduras,Yugoslavia,1,0,0,1,0,,,,,,,,1,1,0.0,0,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-24,Yugoslavia,Honduras,0,1,1,0,0,,,,,,,,1,0,0.4,25,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-25,Austria,West Germany,0,1,0,1,0,,,,,,,,2,0,0.5,18,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-25,England,Kuwait,1,0,1,0,0,,,,,,,,1,0,0.4166666666666667,24,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-25,Kuwait,England,0,1,0,1,0,,,,,,,,1,0,0.0,0,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-25,Spain,Northern Ireland,1,0,0,1,1,,,,,,,,1,0,0.3888888888888889,18,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-25,Northern Ireland,Spain,0,1,1,0,0,,,,,,,,2,1,0.4,5,0,0,Win,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-06-28,Austria,France,1,0,0,1,0,,,,,,,,1,0,0.5,18,0,0,Loss,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-06-28,Poland,Belgium,1,0,3,0,0,,,,,,,,1,0,0.6428571428571429,14,0,0,Win,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-06-29,Italy,Argentina,1,0,2,1,0,,,,,,,,2,0,0.5555555555555556,36,0,0,Win,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-06-29,Argentina,Italy,0,1,1,2,0,,,,,,,,3,1,0.4827586206896552,29,0,0,Loss,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-06-29,West Germany,England,1,0,0,0,0,,,,,,,,1,0,0.6097560975609756,41,0,0,Draw,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-07-01,Austria,Northern Ireland,1,0,2,2,0,,,,,,,,1,0,0.5,18,0,0,Draw,1982
1982 FIFA Men's World Cup,second group stage,1,0,1982-07-01,Soviet Union,Belgium,0,1,1,0,0,,,,,,,,1,0,0.5263157894736842,19,0,0,Win,1982
