tournament_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_name,city_name,country_name,team_name,team_code,opponent_name,opponent_code,home_team,away_team,goals_for,goals_against,extra_time,penalty_shootout,penalties_for,penalties_against,result,is_host,yellow_cards,red_cards,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,team_prior_matches,team_prior_win_rate,team_prior_goals_scored_avg,team_prior_goals_conceded_avg,opp_prior_matches,opp_prior_win_rate,opp_prior_goals_scored_avg,opp_prior_goals_conceded_avg,h2h_prior_matches,h2h_prior_win_rate,team_curr_form_pts_avg,team_curr_goals_scored_avg,team_curr_goals_conceded_avg,opp_curr_form_pts_avg,opp_curr_goals_scored_avg,opp_curr_goals_conceded_avg,possession_h1,possession_h2,shots_h1,shots_h2,shots_on_target_h1,shots_on_target_h2,passes_completed_h1,passes_completed_h2,passes_attempted_h1,passes_attempted_h2,corners_h1,corners_h2,fouls_h1,fouls_h2,yellow_cards_h1,yellow_cards_h2,red_cards_h1,red_cards_h2,outcome
1974 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1974-06-14,19:30,Westfalenstadion,Dortmund,Germany,Scotland,SCO,Zaire,COD,0,1,2,0,0,0,0,0,win,0,1,0,,,,,,,,5,0.0,0.8,2.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Win
1974 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1974-06-15,16:00,Niedersachsenstadion,Hanover,Germany,Uruguay,URY,Netherlands,NLD,1,0,0,2,0,0,0,0,lose,0,3,1,,,,,,,,26,0.5384615384615384,2.1538461538461537,1.2692307692307692,2,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,2.0,0.0,1.0,Loss
1974 FIFA Men's World Cup,group stage,Group 4,1,0,0,0,1974-06-15,18:00,Olympiastadion,Munich,Germany,Haiti,HTI,Italy,ITA,0,1,1,3,0,0,0,0,lose,0,1,0,,,,,,,,0,0.0,0.0,0.0,26,0.5769230769230769,1.8461538461538465,1.1538461538461535,0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Loss
1974 FIFA Men's World Cup,group stage,Group 4,1,0,0,0,1974-06-15,18:00,Neckarstadion,Stuttgart,Germany,Argentina,ARG,Poland,POL,0,1,2,3,0,0,0,0,lose,0,2,0,,,,,,,,16,0.5,1.9375,1.6875,1,0.0,5.0,6.0,0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Loss
1974 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1974-06-18,19:00,Olympiastadion,Berlin,Germany,Chile,CHL,East Germany,DDR,1,0,1,1,0,0,0,0,draw,0,2,0,,,,,,,,15,0.4666666666666667,1.4666666666666666,1.4666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,Draw
1974 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1974-06-18,19:00,Olympiastadion,Berlin,Germany,East Germany,DDR,Chile,CHL,0,1,1,1,0,0,0,0,draw,0,1,0,,,,,,,,0,0.0,0.0,0.0,15,0.4666666666666667,1.4666666666666666,1.4666666666666666,0,0.0,3.0,2.0,0.0,0.5,0.5,1.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Draw
1974 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1974-06-18,19:30,Waldstadion,Frankfurt,Germany,Brazil,BRA,Scotland,SCO,0,1,0,0,0,0,0,0,draw,0,3,0,,,,,,,,38,0.6842105263157895,2.710526315789474,1.2894736842105263,5,0.0,0.8,2.8,0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,Draw
1974 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1974-06-18,19:30,Parkstadion,Gelsenkirchen,Germany,Yugoslavia,YUG,Zaire,COD,1,0,9,0,0,0,0,0,win,0,1,0,,,,,,,,19,0.4736842105263157,1.736842105263158,1.4210526315789471,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Win
1974 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1974-06-18,19:30,Parkstadion,Gelsenkirchen,Germany,Zaire,COD,Yugoslavia,YUG,0,1,0,9,0,0,0,0,lose,0,0,1,,,,,,,,0,0.0,0.0,0.0,19,0.4736842105263157,1.736842105263158,1.4210526315789471,0,0.0,0.0,0.0,2.0,2.0,4.5,0.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,Loss
1974 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1974-06-19,19:30,Niedersachsenstadion,Hanover,Germany,Bulgaria,BGR,Uruguay,URY,1,0,1,1,0,0,0,0,draw,0,1,0,,,,,,,,9,0.0,0.7777777777777778,2.6666666666666665,26,0.5384615384615384,2.1538461538461537,1.2692307692307692,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Draw
